text,is_ai_generated,source,domain,prompt_group
If you feel there is a possibility these items belong to me I will require all documentation that bears my signature. If you do not provide any records & claim the items is verified please understand I will seek legal action. I do not take kindly to games nor does my attorney. SO please comply with the law so this matter can be handled swiftly. redacted redacted redacted Balance : an amount redacted redacted redacted redacted redacted NY redacted,0,human_cfpb_complaints,dispute,7408801
"On redacted/redacted/ ( and many disputes before that ) I have submitted disputes on these four redacted redacted accounts. Two of the accounts are not mine and the other two are reporting inaccurate information ( all four accounts are to be honest ). I have seen numerous disputes and have not received NOTHING back from the CRAs about my dilemma, I even tried calling and either I was hung up on or they do not try to hear my plea on how I have been wronged. The accounts that are in question are as follows : redacted redacted redacted redacted redacted redacted redacted redacted",0,human_cfpb_complaints,dispute,7979866
I was banking with Capital One and I deposited a check which was not in my name they told me that I need to verify that I had permission to deposit the check I gave them a phone number from the issuer of the check and from the name written on it but they said that they can still not verify it. Now my money has been locked for more than a full year with no resolution. The money they keep is even more than the amount of the problematic check!,0,human_cfpb_complaints,dispute,7906763
"On my statement from Synchrony, they only list a seven year payoff amount at minimum payments. They do not reflect a payment for three year payoff, as required by the credit act report. When I called, they did not have an answer to my inquiry. I would like to know what my payments would be for a three year payoff so I can budget accordingly.",0,human_cfpb_complaints,dispute,3142140
"I contacted all 3 credit bureaus about the inaccuracy on my credit report months ago. As of today, the following information remains on my report. I have a statement on my credit report about several family members with the same or similar name in spelling. The accounts and amounts are listed below. : Afni redacted redacted redacted redacted redacted, Il redacted Opened redacted/redacted/19 redacted redacted redacted redacted redacted redacted redacted redacted, NV redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted redacted, SC redacted redacted redacted redacted redacted redacted redacted redacted, IL redacted Please help me these accounts do not belong to me.",0,human_cfpb_complaints,dispute,3273959
"In accordance with the Fair Credit Reporting Act, redacted redacted redacted account # redacted has violated my rights. 15 U.S.C. 1681 section 602 A states I have the right to privacy. 15 U.S.C. 1681 604 A section 2 also states a consumer reporting agency can not furnish a account without my written instructions.",0,human_cfpb_complaints,dispute,6976441
Tryed resolving problem over the phone with no success. Fees charged. And disputes filed resulting in my business account being closed. And owing wells Fargo over redacted dollars.,0,human_cfpb_complaints,dispute,6469448
An extra an amount paid was applied to the interest of my loan instead of the principal. I've spoken with 5 different people and was not able to resolve it.,0,human_cfpb_complaints,dispute,6473182
"I disputed multiple times this incomplete inaccurate false collection with Experian and requested investigation proof of wet ink signature no lawful results provided. When requested verification validation letter via USPS certified mail the address provided per Experian to my surprise the letter came back undeliverable address, not a valid address, providing reports of false, inaccurate and incomplete info which is a violation of the fcra, not doing due diligence and not protecting consumers.",0,human_cfpb_complaints,dispute,2576377
I received a copy of my credit report and noticed some hard inquires that I do not recognize. redacted redacted,0,human_cfpb_complaints,dispute,5741148
Debt collectors keep texting and calling for a credit card called 'redacted redacted redacted redacted ' I have never opened up credit card. I think someone used my information.,0,human_cfpb_complaints,dispute,7812154
"My home loan was sold to Freedom Mortgage in redacted/redacted/2022. According to RESPA a new loan servicer is not allowed to charge late fees for 60 days. My loan has never been paid late, past 30 days since inception. Having said this, Freedom Mortgage has charged me a "" late '' fee for redacted, redacted & redacted. It's automatically included in my mortgage payment every month. I do not have the option of not paying it. I have called and sent messages to Freedom Mortgage and they have continued to charge me a late fee when my mortgage payment is not late.",0,human_cfpb_complaints,dispute,6553183
"redacted is improperly reporting an account in collection as follows : Creditor : Financial Asset Management Date Opened : redacted/redacted/2019 Amount Due : an amount No account was opened with them or their "" Original Creditor : redacted redacted '' in or around a date. I have contacted a date and filed a dispute 2 or 3 times to date with no success. I have contacted "" Financial Asset Management '' as well to make them aware of their error only to be berated and yelled at. The original account refers to a Student Loan with a date of first delinquency that was longer than 7 years ago.",0,human_cfpb_complaints,dispute,3700757
"Hi, I can't believe you guys are taking advantage of me. I AM VERY UPSET the credit bureaus have not responded back to me about my investigation. I sent a letter, it's more than 60days. I need these accounts deleted or updated. These are the items I demanding to be deleted immediately : 13. Under 15 U.S. Code 1681e ( b ) and 15 U.S. Code 1681i ( 5 ) this account in violation not reporting 100 accurate redacted redacted Account Number : redacted Delete the account for failure to perform an investigation per FCRA regulation. Inaccurate information still shows on my report",0,human_cfpb_complaints,dispute,7895841
Have been called twice a day for the past few months about a debt that I attempted to pay off in a date. Payment was returned multiple times by American express and they refused to accept my money for payment and continue harass me by phone and email. Have contacted company and shown proof of thie mistakes multiple times but american express keeps selling off the debt to different company 's that continue to harass me and charge me interest on an account that was closed in a date. Everytime I dispute the incorrect debt with the debt collectors american express starts to contact me again saying I owe them even more money. Have reported them before and they stopped contacting me but have resumed contact again.,0,human_cfpb_complaints,dispute,4629755
"I've requested copies of statements from time my Slate account was opened until it was closed as well as account agreement pertaining to charging of interest and fees. I need these items mailed to me, Chase has replied prior and attached the items via file. These items need to be mailed to me, these are required for legal reasons. I am unable to print the items.",0,human_cfpb_complaints,dispute,3223186
On a date I made a money transfer of an amount to a friend via Venmo through my bank. On a date I got an email telling me there was an error and that my bank didn't process it. I checked my bank statement and contacted my bank and it shows- an amount was taken out to process the payment via Venmo. I should only owe an amount on my Venmo balance.,0,human_cfpb_complaints,dispute,7473647
"I have recently reviewed my credit report and noticed some unauthorized accounts on my credit report and under 15 USC 1681 a number 3. redacted, redacted, & Equifax assumed this role without permission not only that they did not have my consent. They did not respect my right to privacy which is under 15 USC 1681 a number 4. They did not exercise their grave responsibility, & is unfair, & partial. redacted never had a permissible purpose Under 1681 b number 2. I never instructed redacted to furnish this report and I never consented to this report in the first place.",0,human_cfpb_complaints,dispute,7593291
"The company is redacted redacted ( Tek Collect )! This has been on my redacted credit report since redacted. I have added it in a bankruptcy twice now! I have repeatedly told the credit bureau to remove this for years. They do not listen. I have again recently noticed it is still on my redacted report!! It states another update that it will be removed on redacted. I am ready to file a law suit against them. They just don't STOP! Is there any way you redacted be able to help with this matter? Before I call my lawyer to have this taken care of Thank you, redacted redacted.",0,human_cfpb_complaints,dispute,6438785
This is to inform you that the account listed below is reporting erroneously & is inaccurate. The bank is reporting this account inaccurately. They informed me they had an internal issue & posted me 30 days past due on redacted/redacted/2019. Please investigate this account & please update the account to a positive status of open/never late. I will be documenting my case in the event you verify it inaccurately. Please provide me with all verifiable proof. redacted redacted redacted redacted,0,human_cfpb_complaints,dispute,7050222
redacted redacted Account # shows redacted/redacted/2019 and redacted/redacted/2019 as 30-day late payments. This should be changed to paid on time. I attached a letter from redacted redacted stating that I have no late payments with the company.,0,human_cfpb_complaints,dispute,5513816
"I chatted and called Huntington to close my business checking account. I am currently staying overseas, but they kept saying I had to visit a branch to close the account. I have already emptied out my account and would like to get it closed before any maintenance fee is charged.",0,human_cfpb_complaints,dispute,4025408
"redacted, TransUnion and redacted have violated my rights as a federally protected consumer and allowed several redacted 's to pull redacted Inquiries of my credit report without permissible purpose. redacted, TransUnion, redacted, are in violation of 15 US Code 1681b providing multiple Trilegiant 's a copy of my credit report without my written consent.",0,human_cfpb_complaints,dispute,7659047
I was checking my credit report and these accounts still on. Just pulled update of my credit report and I dont see any changes. I already sent few rounds of dispute about them. I believe that someone have my personal information. I m disappointed! I dont know how to delete it from my name,0,human_cfpb_complaints,dispute,5181979
I tried to no avail to reach Mohela by phone several times. I've written them multiple times. I asked that my payment be applied to the unsubsidized portion of my student loan. I also indicated this instruction by writing it on the check they cashed. Mohela ignored me.,0,human_cfpb_complaints,dispute,7778677
"I ordered my consumer report, and noticed many instances of erroneous/False information.I sent back a dispute and never received anything in response indicating there was a investigation being done. what the investigation turned up or anything. That is a violation of my rights ... ... this company has violated my rights ... .. I demand this false/erroneous information be removed from my consumer report immediately, it has harmed me",0,human_cfpb_complaints,dispute,4475114
"I appreciate your taking the time to CORRECT some of the erroneous accounts in my credit file ; however, there are still many accounts that need to be UPDATED. The credit bureaus must verify these accounts under Sections 609 ( a ) ( 1 ) ( A ) and 611 ( a ) ( 1 ). ( A ). I'm hoping that these disputed accounts be UPDATED immediately. redacted redacted redacted redacted redacted redacted redacted redacted",0,human_cfpb_complaints,dispute,6439622
"This is my complaint to CAPITAL ONE for allowing the fraudulent account on my credit report. I filed an FTC report with the report number redacted. As I checked my credit report this is redacted of fraudulent accounts reflecting on my credit report. I was expecting that I can count on them to protect my information and to provide accurate credit reports. There are multiple inaccurate information on my credit report the balances, date of late payments, payment status, date of last payment and violation under FCRA policy.",0,human_cfpb_complaints,dispute,7150851
Items where illegally ran on my credit. Not giving consent to do so by me.! redacted redacted redacted a date redacted/redacted redacted a date carmax a date redacted redacted redacted a date redacted redacted redacted a date redacted redacted redacted. a date redacted redacted/redacted a date,0,human_cfpb_complaints,dispute,4080205
